Name;Trace_id;Point_id;Start_x;Start_y;Start_z;End_x;End_y;End_z;Cost;Cost_Mode
measurements.Trace;239;108;790449;7.26496e+06;-59.5829;790449;7.26496e+06;-59.6067;204;4
measurements.Trace;239;109;790449;7.26496e+06;-59.6067;790449;7.26496e+06;-59.6124;205;4
measurements.Trace;239;110;790449;7.26496e+06;-59.6124;790449;7.26496e+06;-59.611;143;4
measurements.Trace;239;111;790449;7.26496e+06;-59.611;790449;7.26496e+06;-59.6127;163;4
measurements.Trace;239;112;790449;7.26496e+06;-59.6127;790449;7.26496e+06;-59.6287;237;4
measurements.Trace;239;113;790449;7.26496e+06;-59.6287;790449;7.26496e+06;-59.6489;226;4
measurements.Trace;239;114;790449;7.26496e+06;-59.6489;790449;7.26496e+06;-59.6445;188;4
measurements.Trace;239;115;790449;7.26496e+06;-59.6445;790450;7.26496e+06;-59.6395;178;4
measurements.Trace;239;116;790450;7.26496e+06;-59.6395;790450;7.26496e+06;-59.6386;202;4
measurements.Trace;239;117;790450;7.26496e+06;-59.6386;790450;7.26496e+06;-59.6314;146;4
measurements.Trace;239;118;790450;7.26496e+06;-59.6314;790450;7.26496e+06;-59.6339;98;4
measurements.Trace;239;119;790450;7.26496e+06;-59.6339;790450;7.26496e+06;-59.6425;124;4
measurements.Trace;239;120;790450;7.26496e+06;-59.6425;790450;7.26496e+06;-59.6149;104;4
measurements.Trace;239;121;790450;7.26496e+06;-59.6149;790450;7.26496e+06;-59.5974;97;4
measurements.Trace;239;122;790450;7.26496e+06;-59.5974;790450;7.26496e+06;-59.5909;185;4
measurements.Trace;239;123;790450;7.26496e+06;-59.5909;790450;7.26496e+06;-59.5992;169;4
measurements.Trace;239;124;790450;7.26496e+06;-59.5992;790450;7.26496e+06;-59.6175;125;4
measurements.Trace;239;125;790450;7.26496e+06;-59.6175;790450;7.26496e+06;-59.6394;219;4
measurements.Trace;239;126;790450;7.26496e+06;-59.6394;790450;7.26496e+06;-59.6255;120;4
